accuracy,sensitivity,specificity,auc,f1,model,feature_set
0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9845679012345679,0.9444444444444444,logistic,structural
0.9722222222222222,1.0,0.9444444444444444,0.9969135802469136,0.972972972972973,centroid,structural
0.8055555555555556,0.8333333333333334,0.7777777777777778,0.9074074074074074,0.8108108108108109,logistic,network
0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8888888888888888,0.8333333333333334,centroid,network
0.9722222222222222,0.9444444444444444,1.0,0.9753086419753086,0.9714285714285714,logistic,combined
0.9722222222222222,0.9444444444444444,1.0,0.9753086419753086,0.9714285714285714,centroid,combined
