model,n_splits,accuracy_mean,accuracy_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,auc_mean,auc_std,f1_mean,f1_std,feature_set
logistic,5,0.9166666666666667,0.03402069087198856,0.9444444444444444,0.039283710065919325,0.888888888888889,0.03928371006591928,0.9771604938271604,0.014076239816038743,0.9189031136399558,0.03310123160720291,structural
centroid,5,0.95,0.03042903097250924,0.9777777777777779,0.030429030972509243,0.9222222222222222,0.06334307917217433,0.9876543209876543,0.011752736274481342,0.9518668466036887,0.028618525873179427,structural
logistic,5,0.85,0.024845199749997632,0.8555555555555555,0.10092167846991638,0.8444444444444444,0.09938079899999064,0.9179012345679013,0.02199818479161169,0.8495653907496014,0.029458925512773446,network
centroid,5,0.8333333333333334,0.019641855032959663,0.8111111111111111,0.10829771494232181,0.8555555555555555,0.1337954953199144,0.9148148148148149,0.012460882245794041,0.8286866048495929,0.018373314980627355,network
logistic,5,0.9277777777777778,0.024845199749997673,0.9222222222222222,0.06334307917217433,0.9333333333333332,0.04648111258522644,0.9864197530864198,0.013203240516177436,0.9268522392361402,0.027288771057459315,combined
centroid,5,0.9222222222222223,0.02324055629261322,0.9111111111111111,0.06334307917217433,0.9333333333333332,0.060858061945018485,0.9895061728395061,0.007746852097537714,0.9210887217079169,0.023872709513357845,combined
